#Frame      Mode1    Mode2    Mode3
     188 -299.726  120.557 -121.097
     189 -300.122  120.884 -120.967
     190 -297.882  122.814 -122.945
     191 -295.958  123.949 -120.075
     192 -296.740  125.094 -119.995
     193 -297.465  125.957 -118.468
     194 -297.276  123.602 -116.719
     195 -295.103  124.185 -115.263
     196 -294.919  123.887 -117.969
     197 -295.315  125.871 -117.993
     198 -297.066  125.532 -116.527
     199 -294.717  125.419 -118.108
     200 -293.123  125.636 -120.387
     201 -294.701  126.333 -118.537
     202 -294.791  127.197 -115.809
     203 -293.618  127.025 -113.158
     204 -292.025  128.559 -113.318
     205 -290.663  128.442 -110.613
     206 -293.207  124.541 -111.689
     207 -292.545  125.148 -111.725
     208 -292.866  124.014 -113.554
     209 -289.395  126.684 -115.661
     210 -288.557  128.620 -114.465
     211 -291.479  128.046 -116.618
     212 -291.297  129.219 -116.150
     213 -292.310  128.620 -116.074
     214 -292.023  131.918 -115.201
     215 -290.837  131.974 -114.069
     216 -289.742  131.319 -115.533
     217 -290.815  129.161 -112.839
     218 -291.937  128.876 -109.857
     219 -291.163  131.269 -107.203
     220 -291.162  129.356 -109.507
     221 -288.076  130.408 -108.249
     222 -289.255  132.263 -106.740
     223 -289.434  131.064 -103.058
     224 -290.307  135.034 -109.428
     225 -290.794  134.429 -104.514
     226 -288.211  132.650 -107.063
     227 -288.552  132.084 -104.517
     228 -290.244  129.636 -101.616
     229 -289.616  129.516 -103.029
     230 -287.796  130.210 -101.841
     231 -287.959  129.638  -98.539
     232 -287.059  131.304  -96.381
     233 -289.133  132.109  -93.698
     234 -287.369  129.672  -93.507
     235 -290.760  129.131  -94.425
     236 -291.279  128.888  -95.886
     237 -289.477  128.151  -94.761
     238 -291.781  130.217  -94.802
     239 -291.642  126.152  -97.365
     240 -290.579  129.066  -98.977
     241 -287.682  129.998  -94.998
     242 -286.365  130.602  -93.681
     243 -289.525  130.107  -95.631
     244 -288.573  130.181  -97.605
     245 -289.078  130.656  -98.234
     246 -287.665  130.603  -96.327
     247 -288.037  130.995  -98.723
     248 -286.464  134.000  -99.802
     249 -286.845  133.363 -100.447
     250 -287.029  133.512 -101.073
     251 -288.948  133.178 -100.195
     252 -285.414  132.985  -99.996
     253 -286.914  132.936 -101.329
     254 -287.279  133.834  -99.084
     255 -286.400  137.465 -102.223
     256 -288.265  134.674 -100.980
     257 -286.838  135.464  -99.328
     258 -285.046  137.672  -98.403
     259 -288.121  135.526  -97.446
     260 -285.992  133.077  -98.992
     261 -285.998  133.751  -99.749
     262 -285.914  133.166  -99.838
     263 -286.240  136.431 -101.045
     264 -286.273  137.140  -99.770
     265 -286.305  134.997 -100.313
     266 -284.885  139.249  -97.891
     267 -285.029  138.614  -99.661
     268 -284.591  138.895  -97.536
     269 -284.528  136.608  -99.910
     270 -283.162  135.334 -101.365
     271 -283.317  136.279  -99.938
     272 -284.231  134.584  -95.262
     273 -281.790  133.925  -98.394
     274 -284.633  134.917  -97.252
     275 -288.247  130.649  -99.879
     276 -287.250  129.188 -100.594
     277 -291.091  127.783 -104.863
     278 -289.462  127.450 -105.126
     279 -290.069  129.871 -106.254
     280 -289.936  131.829 -105.271
     281 -288.153  128.602 -101.993
     282 -290.651  131.242 -105.682
     283 -289.550  132.941 -105.415
     284 -287.059  131.940 -104.148
     285 -289.124  127.947 -105.148
     286 -291.242  131.884 -105.580
     287 -288.558  132.407 -104.986
     288 -288.535  133.626 -102.156
     289 -289.792  134.009 -100.828
     290 -290.754  133.513 -100.127
     291 -290.320  132.214 -100.862
     292 -290.254  132.782 -103.130
     293 -289.604  131.956 -101.309
     294 -290.797  137.976 -100.094
     295 -289.401  133.745 -100.780
     296 -287.964  135.172 -106.181
     297 -287.471  135.911 -107.566
     298 -289.059  135.958 -106.689
     299 -286.053  136.384 -105.632
     300 -287.139  139.221 -107.730
     301 -284.690  140.653 -106.149
     302 -282.855  140.767 -109.193
     303 -283.732  142.790 -111.878
     304 -283.686  141.571 -111.560
     305 -282.915  141.789 -113.552
     306 -282.164  139.506 -115.990
     307 -281.495  139.425 -117.434
     308 -282.778  136.922 -117.547
     309 -284.449  137.316 -117.752
     310 -284.056  138.429 -115.879
     311 -285.100  138.164 -115.520
     312 -284.942  140.727 -111.530
     313 -286.936  138.604 -113.434
     314 -283.921  140.610 -113.885
     315 -284.973  137.852 -119.874
     316 -283.069  138.224 -117.767
     317 -285.423  137.330 -117.227
     318 -286.082  140.059 -117.943
     319 -285.387  138.402 -119.077
     320 -285.255  139.875 -117.231
     321 -285.989  141.467 -117.190
     322 -284.066  140.259 -117.191
     323 -282.867  142.170 -116.398
     324 -284.600  138.941 -116.007
     325 -285.477  141.040 -117.613
     326 -284.017  139.720 -116.837
     327 -284.622  138.357 -115.848
     328 -284.660  141.875 -118.456
     329 -284.355  140.038 -114.260
     330 -284.670  139.565 -113.939
     331 -285.597  139.087 -113.451
     332 -287.199  136.004 -113.624
     333 -286.886  138.787 -113.350
     334 -288.061  141.127 -111.296
     335 -286.409  138.450 -113.863
     336 -286.811  135.221 -114.460
     337 -291.080  134.784 -117.289
     338 -287.575  135.600 -117.225
     339 -289.355  136.311 -118.170
     340 -287.289  136.869 -117.890
     341 -290.214  136.708 -119.548
     342 -289.770  139.615 -117.243
     343 -288.742  137.559 -114.874
     344 -288.852  138.994 -115.946
     345 -286.762  139.522 -112.494
     346 -285.945  139.572 -113.368
     347 -287.570  139.482 -113.042
     348 -287.779  136.059 -113.106
     349 -287.133  135.707 -111.512
     350 -288.801  133.864 -110.490
     351 -289.631  131.706 -109.285
     352 -287.910  133.601 -110.277
     353 -287.987  134.446 -107.577
     354 -286.102  131.822 -109.451
     355 -289.014  133.890 -109.721
     356 -288.110  134.667 -110.458
     357 -287.215  135.000 -112.532
     358 -287.550  132.590 -112.527
     359 -289.738  133.077 -109.703
     360 -287.136  133.480 -109.386
     361 -285.756  135.376 -111.569
     362 -289.295  135.051 -109.273
     363 -289.954  133.214 -106.626
     364 -287.760  135.686 -105.092
     365 -287.934  135.334 -105.859
     366 -289.053  137.230 -106.206
     367 -291.100  136.281 -108.690
     368 -287.995  135.457 -110.005
     369 -291.691  132.251 -112.067
     370 -290.877  132.818 -110.888
     371 -290.628  133.043 -108.341
     372 -286.920  137.848 -107.005
     373 -290.013  138.692 -106.156
     374 -291.386  136.986 -105.265
     375 -290.313  134.256 -103.780
     376 -290.971  133.147 -102.609
     377 -292.713  131.309 -102.780
     378 -290.687  132.930 -104.185
     379 -290.746  129.755 -105.751
     380 -289.584  129.789 -104.624
     381 -290.783  133.441 -105.501
     382 -289.325  132.352 -103.009
     383 -288.834  131.449 -104.754
     384 -288.522  131.543 -106.303
     385 -291.387  132.469 -106.862
     386 -289.999  134.834 -104.322
     387 -289.836  134.584 -100.047
     388 -291.011  135.390 -102.248
     389 -289.381  135.979 -103.192
     390 -288.551  137.020 -103.643
     391 -286.997  137.873 -104.848
     392 -287.937  135.782 -103.576
     393 -287.827  138.139 -105.350
     394 -289.171  140.520 -105.284
     395 -290.025  138.568 -105.685
     396 -288.638  136.782 -101.142
     397 -291.142  135.665 -104.200
     398 -291.826  133.884 -105.638
     399 -291.254  133.939 -102.746
     400 -290.510  133.682 -102.405
     401 -290.894  132.117 -101.565
     402 -291.908  133.069 -101.140
     403 -288.104  135.105  -98.750
     404 -289.972  135.403 -101.542
     405 -292.970  140.107 -100.114
     406 -288.630  137.217 -101.936
     407 -289.506  138.348 -102.531
     408 -289.933  134.419 -102.602
     409 -290.862  138.913 -104.641
     410 -291.812  137.647 -104.262
     411 -288.886  136.218 -104.888
     412 -286.992  138.338 -104.786
     413 -289.915  137.015 -106.130
     414 -293.761  136.850 -105.194
     415 -290.326  134.468 -106.878
     416 -289.589  133.502 -107.111
     417 -290.647  132.752 -107.356
     418 -292.883  132.443 -108.602
     419 -295.060  130.807 -110.045
     420 -291.176  131.778 -108.264
     421 -294.112  132.622 -110.036
     422 -294.274  128.094 -110.301
     423 -292.097  128.716 -111.593
     424 -291.632  129.549 -113.188
     425 -292.455  128.139 -113.082
     426 -294.705  130.148 -113.803
     427 -291.777  130.594 -117.422
     428 -290.802  132.522 -111.956
     429 -291.941  134.749 -113.789
     430 -290.324  133.280 -111.362
     431 -291.658  131.955 -114.054
     432 -295.141  132.177 -112.054
     433 -296.469  132.573 -113.422
     434 -295.970  131.843 -115.244
     435 -296.208  131.587 -115.151
     436 -296.639  132.390 -115.752
     437 -298.517  129.367 -117.116
     438 -298.676  133.131 -116.175
     439 -298.278  135.291 -111.907
     440 -300.179  134.921 -116.976
     441 -299.010  136.321 -119.435
     442 -297.757  132.937 -122.021
     443 -299.168  133.873 -122.055
     444 -297.545  134.865 -122.066
     445 -299.809  132.828 -118.992
     446 -297.421  132.652 -121.532
     447 -298.487  127.971 -121.963
     448 -300.726  126.190 -123.695
     449 -299.224  128.382 -123.365
     450 -300.465  125.946 -122.245
     451 -300.195  123.587 -121.175
     452 -299.331  124.135 -121.218
     453 -300.405  125.282 -119.075
     454 -302.774  126.498 -121.189
     455 -302.555  124.942 -121.570
     456 -301.031  126.416 -121.200
     457 -300.142  126.813 -118.381
     458 -296.960  129.406 -118.337
     459 -297.972  129.525 -120.104
     460 -297.321  128.134 -122.274
     461 -296.735  127.764 -119.527
     462 -298.113  130.131 -121.016
     463 -295.505  128.299 -120.987
     464 -298.015  129.119 -123.704
     465 -297.899  127.856 -124.320
     466 -298.016  125.671 -125.129
     467 -300.996  122.745 -127.552
     468 -294.523  120.678 -125.032
     469 -295.956  121.077 -126.622
     470 -295.777  121.616 -128.968
     471 -295.877  122.526 -122.455
     472 -297.355  122.041 -125.527
     473 -296.945  118.285 -121.756
     474 -297.365  118.877 -125.447
     475 -296.405  119.132 -125.232
     476 -297.490  116.485 -127.051
     477 -298.163  121.133 -126.937
     478 -296.319  121.437 -128.618
     479 -296.450  121.480 -130.459
     480 -297.860  122.757 -128.724
     481 -295.410  123.469 -127.620
     482 -298.491  122.828 -130.178
     483 -298.565  125.169 -130.985
     484 -297.752  122.432 -129.066
     485 -296.698  123.027 -129.350
     486 -299.866  123.512 -129.660
     487 -297.493  122.146 -129.214
     488 -297.399  124.002 -130.574
     489 -296.783  124.187 -128.718
     490 -296.138  124.412 -128.987
     491 -296.232  124.336 -130.590
     492 -297.885  126.498 -130.605
     493 -297.644  123.503 -133.509
     494 -294.919  123.096 -134.068
     495 -295.911  122.887 -131.939
     496 -298.485  124.530 -130.392
     497 -297.372  125.795 -128.935
     498 -298.487  124.689 -129.789
     499 -301.185  123.915 -129.541
     500 -301.257  122.015 -128.523
     501 -302.367  121.704 -128.679
     502 -298.633  120.861 -126.528
     503 -300.812  119.317 -127.775
     504 -299.092  116.209 -128.914
     505 -301.527  116.242 -128.073
     506 -299.746  114.280 -125.665
     507 -298.511  116.552 -128.010
     508 -299.618  118.039 -130.533
     509 -298.491  118.122 -128.594
     510 -298.515  117.179 -128.830
     511 -299.102  116.361 -128.359
     512 -299.334  111.384 -130.708
     513 -300.613  112.869 -132.390
     514 -299.727  112.261 -132.310
     515 -298.132  112.732 -133.365
     516 -300.687  108.736 -134.679
     517 -298.890  108.677 -135.123
     518 -301.207  108.966 -136.492
     519 -300.578  107.901 -138.170
     520 -301.898  106.621 -138.498
     521 -302.435  107.685 -139.609
     522 -301.285  107.159 -137.042
     523 -301.055  106.769 -135.262
     524 -301.839  103.183 -136.348
     525 -301.645  105.944 -137.539
     526 -302.038  107.477 -135.464
     527 -299.120  110.022 -137.369
     528 -300.081  110.440 -137.875
     529 -298.905  109.263 -140.029
     530 -299.752  107.788 -141.764
     531 -297.963  110.258 -141.264
     532 -297.504  109.524 -139.570
     533 -299.155  113.136 -137.506
     534 -299.314  111.348 -138.962
     535 -299.345  114.430 -138.390
     536 -298.492  113.324 -139.600
     537 -298.890  112.010 -139.758
     538 -298.093  113.514 -136.582
     539 -295.590  111.831 -139.618
     540 -299.061  113.951 -142.527
     541 -299.058  114.942 -141.881
     542 -297.980  113.883 -142.579
     543 -298.486  116.773 -143.640
     544 -298.280  116.476 -141.073
     545 -300.465  116.039 -140.058
     546 -297.969  114.933 -139.124
     547 -298.701  113.040 -138.081
     548 -303.135  111.724 -138.966
     549 -301.840  109.198 -139.034
     550 -303.954  110.640 -136.428
     551 -300.604  111.630 -136.462
     552 -302.342  111.211 -136.819
     553 -302.242  111.904 -136.951
     554 -303.972  112.432 -135.656
     555 -300.759  113.331 -137.456
     556 -302.919  112.444 -137.471
     557 -303.344  115.039 -136.756
     558 -300.637  112.992 -135.991
     559 -297.280  114.794 -135.736
     560 -300.031  115.454 -136.531
     561 -298.566  119.091 -134.784
     562 -298.346  118.010 -136.121
     563 -297.984  119.080 -136.779
     564 -298.220  113.107 -136.163
     565 -299.506  113.895 -137.717
     566 -301.087  115.641 -134.951
