#Frame      Mode1    Mode2    Mode3
     199  -47.063  195.629  140.304
     200  -45.968  194.620  142.755
     201  -46.510  195.564  145.234
     202  -45.222  193.928  143.192
     203  -43.875  194.733  142.752
     204  -46.049  196.977  143.101
     205  -42.748  194.828  143.707
     206  -45.912  195.625  143.321
     207  -47.925  197.153  143.769
     208  -48.629  197.728  144.027
     209  -50.444  196.267  147.328
     210  -51.412  195.952  145.622
     211  -48.987  196.852  145.861
     212  -48.135  193.762  146.139
     213  -48.791  194.444  145.256
     214  -49.923  194.629  144.002
     215  -52.871  193.569  145.924
     216  -53.308  192.357  143.319
     217  -54.366  189.859  140.707
     218  -56.519  189.796  141.084
     219  -55.245  189.125  140.958
     220  -52.679  191.437  141.310
     221  -51.045  191.442  140.145
     222  -52.300  191.089  140.211
     223  -52.727  190.354  141.396
     224  -56.933  191.651  141.803
     225  -58.239  189.121  144.029
     226  -59.639  190.599  143.043
     227  -59.143  189.281  142.932
     228  -60.974  190.222  145.784
     229  -62.051  194.008  148.222
     230  -62.217  192.212  146.996
     231  -61.568  190.826  146.585
     232  -62.498  190.319  144.181
     233  -63.033  190.660  146.792
     234  -66.622  190.993  146.996
     235  -62.859  189.478  144.031
     236  -62.451  188.614  144.408
     237  -64.021  191.420  144.308
     238  -58.397  192.364  143.994
     239  -57.335  193.179  142.250
     240  -56.225  190.314  142.593
     241  -56.990  192.045  143.734
     242  -57.353  191.575  141.036
     243  -55.028  192.292  139.460
     244  -53.234  191.784  137.970
     245  -53.496  194.355  138.003
     246  -57.778  195.268  138.822
     247  -53.866  194.942  138.001
     248  -54.377  192.622  136.349
     249  -53.419  193.510  137.639
     250  -54.549  194.732  139.642
     251  -57.435  195.414  140.883
     252  -56.284  195.504  139.988
     253  -56.740  194.170  138.890
     254  -57.936  194.539  140.092
     255  -54.154  192.989  140.484
     256  -56.804  193.580  140.414
     257  -56.853  195.998  140.124
     258  -55.915  193.968  136.311
     259  -51.107  191.691  136.989
     260  -48.464  192.495  135.833
     261  -48.644  194.613  137.641
     262  -48.300  193.896  138.695
     263  -47.459  193.487  137.100
     264  -47.449  192.114  137.507
     265  -47.222  192.127  138.496
     266  -47.262  190.164  138.740
     267  -49.699  189.534  139.032
     268  -48.842  188.805  140.840
     269  -46.215  187.241  138.540
     270  -43.386  189.517  137.719
     271  -45.276  190.648  138.874
     272  -44.481  189.280  139.141
     273  -47.027  188.984  138.736
     274  -43.617  188.918  138.343
     275  -45.359  188.058  136.206
     276  -45.077  187.458  136.983
     277  -46.673  190.567  139.460
     278  -44.763  191.721  138.539
     279  -48.191  189.081  141.238
     280  -48.360  191.353  139.393
     281  -46.772  191.766  138.109
     282  -49.942  190.058  139.889
     283  -50.521  188.857  139.295
     284  -52.217  188.738  140.953
     285  -49.315  188.109  140.169
     286  -53.471  188.427  141.698
     287  -51.256  187.864  139.980
     288  -49.533  187.963  140.122
     289  -49.098  188.803  140.903
     290  -50.851  188.099  141.872
     291  -49.976  188.402  138.791
     292  -49.871  187.800  137.463
     293  -49.330  189.698  136.937
     294  -50.079  190.057  135.997
     295  -45.433  191.818  135.056
     296  -45.513  191.344  136.485
     297  -46.442  190.548  134.804
     298  -47.808  190.140  137.303
     299  -48.335  188.609  136.501
     300  -46.510  188.145  136.651
     301  -45.039  187.174  137.288
     302  -42.900  186.982  137.173
     303  -44.230  187.188  139.018
     304  -44.317  187.680  139.057
     305  -44.534  186.783  138.238
     306  -44.304  187.963  141.860
     307  -45.825  188.830  139.835
     308  -46.229  189.289  140.711
     309  -45.251  189.976  138.932
     310  -44.869  188.168  137.747
     311  -44.745  187.104  139.996
     312  -46.016  186.152  138.354
     313  -42.908  185.421  139.527
     314  -44.544  186.807  139.483
     315  -44.339  185.932  138.575
     316  -44.340  185.622  136.867
     317  -43.847  184.824  138.861
     318  -46.361  184.251  137.085
     319  -45.119  185.646  137.887
     320  -46.365  185.104  137.583
     321  -45.123  184.192  138.437
     322  -45.349  185.199  139.442
     323  -44.739  182.543  138.560
     324  -46.511  183.114  140.051
     325  -45.307  182.014  138.854
     326  -44.134  181.282  142.803
     327  -46.333  184.410  142.542
     328  -45.019  184.791  142.144
     329  -43.783  183.330  139.935
     330  -43.760  182.956  141.111
     331  -43.000  183.859  142.370
     332  -44.270  185.014  143.725
     333  -43.222  184.645  145.737
     334  -44.818  181.788  142.820
     335  -43.872  184.434  140.660
     336  -42.637  182.733  143.147
     337  -42.317  184.135  143.638
     338  -42.145  183.340  142.680
     339  -40.464  183.370  141.496
     340  -37.499  180.692  142.456
     341  -36.802  181.583  141.240
     342  -38.049  181.586  141.630
     343  -38.619  178.845  142.131
     344  -38.598  177.935  142.609
     345  -40.784  181.288  142.311
