#Frame      Mode1    Mode2    Mode3
     188 -300.573  122.023 -109.666
     189 -297.292  121.238 -113.356
     190 -297.469  121.066 -111.847
     191 -297.818  118.915 -110.307
     192 -296.940  118.540 -110.640
     193 -294.295  120.856 -109.550
     194 -294.251  120.962 -109.409
     195 -294.922  119.336 -111.301
     196 -294.703  117.817 -109.085
     197 -295.900  118.864 -109.109
     198 -295.585  118.981 -106.257
     199 -296.602  119.802 -105.308
     200 -295.326  120.235 -103.909
     201 -295.481  117.598 -102.437
     202 -297.276  117.103 -105.457
     203 -296.155  118.673 -105.459
     204 -297.047  118.239 -106.567
     205 -296.336  115.184 -104.878
     206 -295.574  116.629 -104.812
     207 -296.318  117.828 -104.429
     208 -295.763  117.381 -106.895
     209 -296.051  114.831 -106.860
     210 -296.722  115.789 -107.667
     211 -297.173  118.379 -106.095
     212 -298.351  118.246 -107.934
     213 -297.762  117.015 -106.299
     214 -296.960  118.111 -106.842
     215 -294.692  116.449 -108.846
     216 -298.565  116.354 -110.015
     217 -298.556  116.761 -108.815
     218 -297.710  116.658 -108.395
     219 -296.938  118.294 -111.967
     220 -297.537  119.955 -111.878
     221 -296.189  120.236 -109.460
     222 -297.275  120.525 -108.040
     223 -294.061  120.199 -108.459
     224 -296.149  120.239 -109.759
     225 -295.926  118.995 -110.804
     226 -297.302  120.934 -110.515
     227 -296.692  120.722 -111.217
     228 -296.560  120.050 -110.893
     229 -299.573  119.700 -111.786
     230 -298.611  122.290 -111.678
     231 -297.191  121.576 -110.821
     232 -297.968  120.830 -113.348
     233 -295.408  118.703 -115.601
     234 -294.587  121.109 -113.945
     235 -295.497  119.803 -114.234
     236 -296.127  117.098 -112.789
     237 -299.075  116.854 -112.917
     238 -296.856  116.470 -112.409
     239 -296.252  117.359 -111.697
     240 -295.498  119.613 -113.076
     241 -294.275  118.713 -111.762
     242 -293.940  120.886 -112.549
     243 -294.737  121.261 -114.118
     244 -292.804  121.200 -115.286
     245 -292.789  121.277 -115.099
     246 -292.238  121.970 -115.246
     247 -292.440  121.621 -115.246
     248 -294.256  122.435 -118.731
     249 -294.982  123.799 -116.873
     250 -294.249  123.088 -115.058
     251 -295.162  121.821 -118.629
     252 -294.447  121.664 -115.498
     253 -292.450  122.684 -114.866
     254 -290.989  124.302 -114.209
     255 -292.130  122.950 -114.402
     256 -293.690  123.081 -115.689
     257 -294.701  122.966 -117.390
     258 -293.149  122.717 -115.200
     259 -294.069  125.559 -114.900
     260 -295.102  126.039 -115.940
     261 -295.807  124.153 -113.263
     262 -291.432  121.529 -114.239
     263 -293.275  121.158 -113.684
     264 -294.391  119.992 -113.598
     265 -291.118  122.047 -111.877
     266 -294.113  121.651 -112.875
     267 -294.663  122.832 -112.579
     268 -295.921  120.655 -110.856
     269 -297.024  122.704 -111.109
     270 -296.525  123.324 -112.828
     271 -294.443  121.412 -113.206
     272 -294.458  122.519 -114.060
     273 -293.688  123.183 -110.610
     274 -293.061  123.152 -111.566
     275 -292.157  124.976 -112.512
     276 -292.171  126.017 -112.921
     277 -294.038  127.739 -113.602
     278 -292.852  125.496 -113.749
     279 -291.821  127.563 -114.247
     280 -291.833  127.329 -112.566
     281 -289.529  128.581 -115.365
     282 -289.548  126.813 -114.681
     283 -291.376  126.820 -118.245
     284 -291.413  123.827 -118.877
     285 -293.396  123.520 -118.123
     286 -291.989  124.716 -118.346
