#Frame      Mode1    Mode2    Mode3
       1 -152.479  180.324   -7.700
       2 -153.239  177.415   -6.595
       3 -152.231  175.785   -5.352
       4 -153.539  176.131   -3.275
       5 -155.011  172.992   -4.499
       6 -153.731  176.254   -3.847
       7 -154.037  173.284   -5.935
       8 -153.435  175.182   -4.036
       9 -151.500  176.014   -5.456
      10 -151.295  174.290   -1.023
      11 -150.009  172.147   -1.071
      12 -150.399  175.872   -4.892
      13 -150.891  174.068    0.252
      14 -150.275  171.881    1.453
      15 -151.917  171.071    0.744
      16 -150.416  170.480    0.221
      17 -152.411  171.006    0.262
      18 -149.989  171.525   -0.179
      19 -149.946  173.252    0.892
      20 -148.284  174.599    2.042
      21 -148.979  175.127    0.750
      22 -149.679  175.938    0.677
      23 -149.717  172.484   -0.350
      24 -149.851  173.797   -1.186
      25 -148.598  172.271   -1.955
      26 -149.360  172.845   -0.669
      27 -147.764  173.599   -2.422
      28 -148.530  173.814   -4.991
      29 -146.653  171.351   -0.036
      30 -141.125  170.153    0.058
      31 -140.004  173.087    0.822
      32 -140.458  175.410    2.938
      33 -139.456  175.605    1.985
      34 -140.071  175.919   -0.071
      35 -141.988  172.626   -0.287
      36 -143.050  175.206   -0.936
      37 -141.770  170.336    3.255
      38 -141.046  168.136    5.674
      39 -140.948  170.502    1.884
      40 -139.844  168.187    3.838
      41 -138.281  167.099    2.793
      42 -140.356  171.439    3.623
      43 -143.626  169.340    5.055
      44 -139.338  171.006    3.675
      45 -139.592  172.143    2.504
      46 -138.249  175.049   -0.703
      47 -141.245  171.876    0.856
      48 -143.820  173.541    1.173
      49 -139.937  172.274   -1.568
      50 -141.795  174.273   -5.607
      51 -142.162  172.999   -4.711
      52 -143.619  171.952   -1.675
      53 -145.456  168.124    3.067
      54 -147.563  169.431    1.719
      55 -149.207  170.599    3.535
      56 -150.375  169.190    2.258
      57 -153.516  169.041    3.857
      58 -149.351  168.957    5.418
      59 -149.720  168.415    6.881
      60 -151.326  168.578    7.251
      61 -152.529  172.404    6.251
      62 -150.951  169.550    6.038
      63 -152.278  168.344    7.744
      64 -151.535  169.301    7.018
      65 -150.103  168.026    7.986
      66 -147.748  167.488   10.123
      67 -148.838  165.716   12.492
      68 -148.984  164.523   11.654
      69 -149.722  166.342   11.003
      70 -146.843  164.416   12.795
      71 -143.410  166.254   13.375
      72 -148.781  166.097   10.513
      73 -142.643  166.099   11.194
      74 -140.083  166.586   10.342
      75 -141.859  166.859   12.501
      76 -143.119  165.202    9.497
      77 -144.599  166.190   10.236
      78 -145.428  163.440   12.897
      79 -146.357  167.049   11.639
      80 -146.431  170.733    9.414
      81 -147.543  168.492   13.333
      82 -148.022  167.406   12.178
      83 -149.875  165.578   13.225
      84 -151.195  166.544   13.521
      85 -153.019  166.160   11.849
      86 -151.930  165.444   12.493
      87 -154.000  163.818   13.469
      88 -150.797  163.115   16.644
      89 -151.732  161.655   14.891
      90 -154.014  161.914   15.707
      91 -155.322  164.649   15.394
      92 -153.281  164.204   14.000
      93 -155.215  165.225   13.474
      94 -158.029  162.222   13.952
      95 -159.864  161.989   10.812
      96 -160.235  164.489   15.537
      97 -158.294  166.749   15.118
      98 -158.377  163.592   16.839
      99 -159.130  160.647   19.631
     100 -161.915  156.830   19.999
     101 -160.023  159.790   21.143
     102 -162.162  158.218   20.531
     103 -161.155  159.551   20.404
     104 -161.577  161.217   15.881
     105 -160.486  157.892   18.509
     106 -157.707  162.457   15.494
     107 -156.232  164.885   14.063
     108 -157.440  167.172   12.777
     109 -157.159  168.383   14.546
     110 -158.595  168.057   12.622
     111 -161.768  169.584   10.737
     112 -160.086  172.791   11.084
     113 -159.641  173.404    9.464
     114 -159.161  171.997    9.739
     115 -156.311  171.841    9.550
     116 -158.720  168.883   11.266
     117 -161.173  167.260    9.133
     118 -157.599  165.527    9.334
     119 -158.234  163.775    9.253
     120 -160.556  164.978    9.793
     121 -163.943  168.554   10.382
     122 -160.920  168.406   11.525
     123 -161.647  170.149   11.282
     124 -165.201  168.548   10.735
     125 -165.522  167.363   11.097
     126 -163.894  167.457   11.253
     127 -162.396  166.528   12.135
     128 -162.612  166.096   11.858
     129 -163.359  165.148   14.697
     130 -163.097  164.730   14.595
     131 -160.641  164.308   12.564
     132 -158.411  165.526   15.727
     133 -156.864  163.045   13.494
     134 -156.579  166.817    9.637
     135 -157.910  166.253   13.289
     136 -159.583  166.733   13.387
     137 -160.076  169.234   11.256
     138 -161.538  167.011   13.037
     139 -161.252  166.282   14.508
     140 -163.766  164.981   13.099
     141 -162.933  166.218   14.878
     142 -161.922  165.147   11.885
     143 -161.070  166.012   11.285
     144 -160.484  168.802   11.204
     145 -159.539  166.218   14.746
     146 -161.393  170.034   14.472
     147 -163.095  169.658   11.561
     148 -163.835  170.310   12.978
     149 -163.301  171.822   13.476
     150 -162.460  168.958   13.005
     151 -165.696  168.396   15.056
     152 -165.230  166.637   15.265
     153 -165.583  166.123   17.162
     154 -169.087  165.169   14.541
     155 -167.496  164.272   15.155
     156 -169.532  162.934   16.968
     157 -171.651  161.491   18.043
     158 -172.935  160.607   17.657
     159 -173.246  161.293   18.573
     160 -170.337  161.925   18.560
     161 -168.297  162.830   18.244
     162 -165.341  165.905   17.299
     163 -165.261  164.342   15.959
     164 -167.092  167.780   17.005
     165 -163.927  166.683   18.298
     166 -164.913  165.050   18.700
     167 -166.607  165.968   18.051
     168 -169.997  161.313   17.535
     169 -168.471  163.486   19.513
     170 -170.308  163.827   16.761
     171 -169.463  165.723   18.013
     172 -165.621  165.203   20.896
     173 -162.073  167.566   17.474
     174 -157.148  169.210   14.555
     175 -156.047  169.908   15.559
     176 -155.375  167.182   14.943
     177 -156.280  168.337   13.844
     178 -157.060  166.089   13.444
     179 -158.333  165.204   15.476
     180 -159.515  168.883   15.781
     181 -160.912  168.675   16.471
     182 -161.015  167.596   15.345
     183 -163.362  163.519   18.626
     184 -166.100  161.757   16.963
     185 -163.123  163.347   17.205
     186 -162.014  165.116   17.288
     187 -163.289  164.946   19.362
     188 -158.678  165.211   20.344
     189 -159.079  162.383   21.018
     190 -159.299  161.889   20.664
     191 -160.852  163.963   21.803
     192 -161.352  162.990   19.935
     193 -163.145  160.974   19.819
     194 -163.025  165.653   18.476
     195 -162.225  164.038   20.667
     196 -164.606  164.851   21.154
     197 -163.877  166.102   18.818
     198 -164.255  163.534   22.212
     199 -164.854  163.092   23.000
     200 -164.641  161.759   21.217
     201 -161.644  163.636   22.333
     202 -165.368  159.215   19.555
     203 -163.457  158.405   19.207
     204 -164.564  159.867   18.305
     205 -165.855  161.396   19.157
     206 -165.650  160.665   19.548
     207 -165.939  158.603   19.322
     208 -165.290  156.465   19.291
     209 -166.954  155.201   20.263
     210 -166.776  154.863   22.860
     211 -169.572  153.895   21.780
     212 -167.190  152.457   21.369
     213 -169.011  153.643   21.719
     214 -167.632  153.633   22.430
     215 -163.743  153.154   20.472
     216 -164.336  151.145   20.569
     217 -166.766  150.978   22.154
     218 -166.054  151.850   19.951
     219 -167.539  152.315   18.722
     220 -165.837  151.324   20.980
     221 -162.956  152.606   19.515
     222 -162.724  151.803   22.593
     223 -162.918  154.171   22.194
     224 -161.776  155.238   21.120
     225 -164.836  153.333   21.907
     226 -165.968  154.013   20.765
     227 -168.239  155.422   17.170
     228 -168.200  155.021   16.664
     229 -170.088  160.826   11.958
     230 -172.199  161.544    9.516
     231 -173.478  160.228    8.608
     232 -178.051  160.150    8.486
     233 -180.443  158.784   13.333
     234 -179.618  157.933   10.525
     235 -183.318  158.935   11.269
     236 -176.304  157.581   13.253
     237 -178.794  159.163   12.771
     238 -177.408  159.207    9.368
     239 -181.089  158.033    9.154
     240 -180.082  157.355   11.033
     241 -179.606  161.253    8.074
     242 -177.508  159.521    5.033
     243 -178.744  159.021    4.852
     244 -178.747  159.604    6.030
     245 -179.600  164.753    8.851
     246 -178.132  162.696    8.165
     247 -180.779  159.791   10.534
     248 -180.512  162.327    9.262
     249 -179.819  162.183    8.901
     250 -180.341  160.638   10.440
     251 -181.794  159.278    9.513
     252 -180.690  159.698    7.021
     253 -178.759  161.160    8.381
     254 -181.937  162.790    8.461
     255 -184.095  160.251   11.618
     256 -182.210  159.608   15.584
     257 -183.867  157.409   18.781
     258 -180.248  159.270   15.886
     259 -179.151  156.786   15.920
     260 -178.917  158.442   16.642
     261 -175.679  158.971   14.067
     262 -177.780  160.409   12.745
     263 -175.561  159.412   14.585
     264 -176.900  162.306   13.282
     265 -175.393  164.680   12.830
     266 -172.440  162.473   12.438
     267 -171.506  164.123   12.912
     268 -172.485  165.916   13.357
     269 -169.031  168.040   10.516
     270 -168.395  164.988    8.918
     271 -174.318  162.476   10.664
     272 -175.524  165.797   12.382
