#Frame      Mode1    Mode2    Mode3
     188 -283.852  128.513  -94.146
     189 -282.932  127.698  -92.737
     190 -283.895  126.571  -96.041
     191 -286.357  126.651  -94.385
     192 -283.704  127.693  -93.369
     193 -284.482  130.403  -91.466
     194 -285.842  129.676  -95.433
     195 -283.361  130.665  -95.246
     196 -285.753  133.111  -95.767
     197 -286.052  134.596  -97.039
     198 -289.045  132.826  -94.903
     199 -286.443  133.512  -92.480
     200 -286.708  134.210  -95.072
     201 -288.388  131.536  -94.426
     202 -290.446  129.503  -95.762
     203 -292.440  127.571  -96.024
     204 -290.000  128.681  -96.009
     205 -292.759  125.804  -98.952
     206 -292.586  127.166  -97.525
     207 -292.264  126.375  -97.606
     208 -291.058  126.918  -99.168
     209 -291.904  123.034  -99.295
     210 -292.147  123.485  -96.662
     211 -291.083  123.975  -97.048
     212 -293.875  123.359  -97.065
     213 -293.421  123.356  -95.296
     214 -293.477  120.380  -99.046
     215 -293.247  122.621  -99.697
     216 -292.574  123.045  -99.473
     217 -292.974  124.477 -100.280
     218 -291.755  122.327 -102.537
     219 -292.829  120.772 -102.185
     220 -291.870  120.789 -100.442
     221 -289.808  120.558 -100.705
     222 -288.197  120.782  -98.891
     223 -289.737  119.116 -101.069
     224 -291.047  115.365 -101.722
     225 -288.623  117.848 -102.019
     226 -292.043  121.129 -100.075
     227 -291.999  120.287  -98.214
     228 -292.334  120.877 -100.434
     229 -290.518  122.961 -100.216
     230 -289.131  122.019 -100.435
     231 -290.537  122.941  -98.513
     232 -292.632  124.617  -97.319
     233 -293.470  124.010  -96.170
     234 -292.535  121.455  -97.099
     235 -292.500  122.374  -96.806
     236 -292.790  122.875  -95.217
     237 -293.315  122.279  -96.809
     238 -292.479  120.483  -95.878
     239 -291.765  119.761  -95.430
     240 -291.443  117.702  -96.378
     241 -293.394  116.770  -98.240
     242 -292.623  116.845 -100.068
     243 -295.084  117.114 -101.308
     244 -296.591  116.110 -103.243
     245 -295.538  113.380 -105.487
     246 -295.849  110.732 -107.837
     247 -297.194  113.807 -105.764
     248 -297.204  114.850 -103.487
     249 -297.636  113.233 -104.384
     250 -297.975  110.216 -107.438
     251 -297.198  114.122 -106.835
     252 -294.700  115.677 -107.066
     253 -294.998  115.470 -108.200
     254 -296.252  118.521 -104.806
     255 -293.781  121.096 -103.404
     256 -293.452  119.662 -104.293
     257 -294.055  120.273 -104.421
     258 -294.548  121.066 -105.481
     259 -293.744  120.677 -108.623
     260 -293.004  121.549 -107.297
     261 -289.539  123.888 -107.218
     262 -290.075  124.954 -106.239
     263 -290.788  123.420 -103.759
     264 -294.045  122.029 -100.443
     265 -294.052  125.904 -100.635
     266 -296.940  120.316 -101.119
     267 -296.764  119.260 -101.387
     268 -297.289  116.393 -106.488
     269 -297.666  115.407 -105.179
     270 -297.260  115.896 -103.910
     271 -296.508  117.175 -105.773
     272 -293.658  115.233 -106.500
     273 -294.002  114.727 -106.283
     274 -294.818  115.013 -105.093
     275 -295.183  115.474 -107.002
     276 -298.349  114.166 -104.867
     277 -296.961  111.363 -103.687
     278 -298.108  112.374 -101.720
     279 -296.611  111.107 -100.029
     280 -296.154  110.051  -98.390
     281 -297.245  109.504  -99.577
     282 -296.580  112.831  -96.616
     283 -300.328  113.566  -99.891
     284 -298.435  110.636  -99.858
     285 -297.335  109.028 -101.094
     286 -297.354  111.887  -99.333
     287 -299.011  112.670  -99.759
     288 -299.182  112.306  -98.157
     289 -299.926  113.939  -95.437
     290 -301.156  114.223  -94.187
     291 -296.684  114.275  -95.060
     292 -298.305  111.543  -94.875
     293 -299.414  110.830  -92.929
     294 -299.371  112.483  -94.728
     295 -299.843  112.592  -96.453
     296 -297.314  109.584  -97.251
     297 -300.354  109.038  -95.724
     298 -300.759  108.557  -92.857
     299 -300.934  106.159  -94.704
     300 -297.726  106.141  -94.114
     301 -300.468  107.462  -94.273
     302 -298.971  107.335  -98.050
     303 -297.430  111.741  -94.089
     304 -296.984  111.029  -91.774
