#Frame      Mode1    Mode2    Mode3
     199  -23.613  184.973  115.471
     200  -24.726  186.401  113.582
     201  -25.571  184.221  116.779
     202  -23.939  185.363  115.757
     203  -25.863  185.106  115.881
     204  -23.030  186.153  119.891
     205  -22.665  186.011  117.475
     206  -22.953  183.316  116.219
     207  -23.060  186.614  114.705
     208  -20.627  182.300  114.640
     209  -18.335  184.107  113.408
     210  -16.808  182.522  116.293
     211  -16.517  182.666  118.673
     212  -18.709  184.573  122.711
     213  -21.094  183.858  122.752
     214  -15.659  183.871  120.922
     215  -13.726  184.831  119.935
     216  -11.558  186.675  120.847
     217  -12.410  186.798  121.815
     218  -13.419  185.313  121.905
     219  -11.442  182.494  122.789
     220  -11.962  180.817  120.605
     221  -10.595  180.937  120.569
     222  -16.989  183.324  121.995
     223  -15.107  181.891  121.216
     224  -17.440  183.199  123.062
     225  -19.494  186.236  122.247
     226  -21.989  184.631  125.997
     227  -21.117  187.924  125.986
     228  -21.903  185.188  125.784
     229  -21.627  184.361  124.223
     230  -21.996  186.249  125.056
     231  -24.446  184.402  125.503
     232  -25.027  185.798  123.671
     233  -25.605  184.334  124.606
     234  -21.303  179.992  124.659
     235  -19.605  179.192  122.354
     236  -19.407  181.864  123.612
     237  -21.810  180.769  125.260
     238  -22.946  178.511  123.229
     239  -22.192  179.315  122.634
     240  -22.224  181.164  118.850
     241  -22.404  180.988  118.910
     242  -21.668  182.877  119.640
     243  -23.084  182.667  122.131
     244  -18.661  184.720  120.336
     245  -17.655  185.785  114.044
     246  -15.407  180.771  114.605
     247  -18.825  183.878  113.100
     248  -17.218  186.710  112.567
     249  -12.621  184.172  110.788
     250   -8.709  185.076  109.444
     251  -10.043  186.675  109.691
     252  -12.309  186.430  107.959
     253  -10.091  186.386  108.057
     254   -9.371  187.823  108.108
     255  -10.694  186.007  109.084
     256  -14.417  184.991  112.632
     257  -16.881  184.365  113.214
     258  -16.944  183.532  112.548
     259  -19.445  185.361  112.706
     260  -20.561  183.823  110.545
     261  -18.685  186.857  109.700
     262  -16.237  188.009  111.845
     263  -16.037  187.081  113.463
     264  -13.641  189.971  115.184
     265  -15.308  189.248  113.861
     266  -14.188  185.683  115.249
     267  -16.014  186.926  113.871
     268  -16.988  188.162  115.932
     269  -19.496  185.559  115.791
     270  -17.462  185.510  115.239
     271  -15.039  183.615  113.461
     272  -15.725  186.112  113.369
     273  -14.161  186.203  112.078
     274  -12.520  184.256  110.784
     275  -10.997  185.465  111.761
     276  -13.406  187.383  114.433
     277  -12.516  188.511  114.595
     278  -12.489  189.497  113.738
     279   -9.563  188.038  117.235
     280  -10.297  189.119  115.426
     281   -9.051  189.772  114.320
     282   -9.854  188.437  114.343
     283   -9.973  186.704  114.341
     284  -10.886  184.872  114.602
     285   -9.129  185.615  116.468
     286   -9.992  185.672  115.153
     287   -7.676  185.542  114.622
     288  -11.575  187.211  117.870
     289  -13.206  187.451  119.752
     290   -8.398  187.627  118.989
     291   -9.065  186.626  114.969
     292  -13.389  184.525  115.324
     293  -11.811  187.032  115.693
     294  -13.527  189.040  112.364
     295  -15.247  188.036  114.331
     296  -11.366  187.413  111.039
     297   -9.510  187.419  110.379
     298   -7.041  188.596  108.014
     299  -10.679  188.360  106.324
     300   -7.739  185.372  106.026
     301   -8.865  185.826  106.388
     302   -4.923  186.484  105.864
     303   -4.018  190.121  102.014
     304   -5.249  189.089  101.193
     305   -7.790  190.176   99.611
     306   -9.058  186.667  100.286
     307   -9.359  190.832  104.369
     308   -7.767  191.653  104.037
     309   -9.172  192.676  102.496
     310  -11.354  192.262  104.736
     311  -10.495  190.825  104.576
     312  -11.984  191.596  103.560
     313  -14.198  194.992  108.683
     314  -13.565  192.835  109.840
     315  -14.079  191.596  107.837
     316  -15.093  191.704  106.282
     317  -15.178  192.616  109.514
     318  -17.122  194.099  109.800
     319  -16.853  192.187  110.931
     320  -20.467  191.551  112.132
     321  -19.894  193.733  108.547
     322  -19.714  195.391  111.146
     323  -20.110  192.905  108.672
     324  -20.012  194.073  111.338
     325  -24.510  194.084  111.813
     326  -24.587  194.347  112.500
     327  -25.650  195.453  109.851
     328  -26.287  192.884  111.282
     329  -24.700  194.367  113.131
     330  -25.302  191.318  111.430
     331  -24.314  190.031  109.827
     332  -22.384  191.737  109.461
     333  -24.320  191.925  111.386
     334  -24.357  189.128  112.221
     335  -20.063  187.377  112.976
     336  -22.010  184.935  111.088
     337  -22.523  185.750  113.346
     338  -23.713  188.431  114.835
     339  -21.691  184.476  113.022
     340  -20.601  187.448  113.268
     341  -23.158  187.729  115.788
     342  -24.208  191.105  114.817
     343  -25.247  193.133  116.569
     344  -23.482  191.867  113.767
     345  -27.893  192.622  115.263
     346  -26.023  192.300  114.417
     347  -26.040  193.186  113.756
     348  -25.902  193.687  112.679
     349  -26.052  193.366  110.839
     350  -25.218  194.419  109.748
     351  -22.546  196.001  108.820
     352  -23.744  195.662  108.519
     353  -22.888  195.422  108.843
     354  -24.424  196.304  108.694
     355  -26.263  199.391  109.332
     356  -26.236  201.308  109.826
     357  -25.728  199.984  108.638
     358  -28.646  197.104  111.973
     359  -27.586  196.680  110.191
     360  -24.405  195.778  107.753
     361  -24.968  196.479  107.365
     362  -25.066  198.331  108.544
     363  -22.496  194.484  109.149
     364  -20.548  195.152  109.371
     365  -24.580  194.431  110.070
     366  -22.360  196.497  111.500
     367  -21.165  196.608  107.609
     368  -23.590  191.970  108.205
     369  -25.172  189.112  110.441
     370  -26.348  189.718  114.044
     371  -24.542  188.870  111.616
     372  -24.335  186.677  108.554
     373  -22.837  187.183  108.150
     374  -23.983  187.502  112.408
     375  -20.638  187.593  113.928
     376  -20.370  186.177  113.924
     377  -21.191  185.308  116.672
     378  -24.282  188.709  114.280
     379  -21.181  187.168  116.155
     380  -18.371  188.549  114.675
     381  -17.411  189.151  112.438
     382  -19.612  187.701  114.753
     383  -20.508  184.180  115.861
     384  -19.186  186.514  110.663
     385  -18.773  184.553  110.002
     386  -22.640  186.384  114.018
     387  -25.915  190.301  115.056
     388  -23.350  189.106  115.411
     389  -22.851  186.580  113.355
     390  -20.575  186.673  112.611
     391  -20.635  182.778  113.184
     392  -20.648  185.044  111.437
     393  -17.343  184.479  108.188
     394  -16.656  184.453  106.521
     395  -11.964  180.868  106.257
     396  -14.752  181.798  105.649
     397  -15.243  182.427  105.237
     398  -16.880  181.692  107.089
     399  -17.408  183.292  106.919
     400  -18.558  184.352  108.592
     401  -16.261  183.824  107.537
     402  -18.626  184.442  107.111
     403  -17.754  186.598  105.804
     404  -14.816  184.829  103.778
     405  -16.427  185.073  104.142
     406  -15.519  184.523  106.345
     407  -14.833  181.939  108.750
     408  -16.275  183.304  111.376
     409  -18.327  183.131  111.228
     410  -15.789  185.675  107.856
     411  -14.054  185.515  108.400
     412  -13.861  187.308  107.558
     413  -13.596  185.297  106.821
     414  -11.659  182.580  106.871
     415   -9.688  180.351  105.988
     416   -6.543  179.565  106.241
     417   -5.056  183.008  107.399
     418   -2.063  179.278  107.621
     419   -0.829  182.937  107.867
     420   -2.790  181.618  108.564
     421   -2.652  182.604  109.173
     422   -2.502  179.486  107.637
     423   -3.003  179.918  108.601
     424   -4.100  180.589  109.647
     425   -4.787  179.960  110.684
     426   -3.614  182.155  111.014
     427   -7.084  180.711  113.343
     428  -10.316  180.086  113.637
     429   -8.611  181.285  116.676
     430   -6.772  178.046  112.757
     431   -7.369  174.744  111.333
     432  -10.246  177.074  110.281
     433   -8.088  179.050  110.943
     434   -7.479  176.620  108.738
     435   -6.911  176.867  111.226
     436   -5.962  175.659  106.456
     437   -4.271  175.160  107.182
     438   -4.116  176.322  107.168
     439   -6.705  175.935  109.433
     440   -6.852  171.942  106.057
     441   -3.764  172.952  108.444
     442   -6.238  174.288  108.621
     443   -5.937  170.598  109.407
     444   -9.486  169.817  104.562
     445  -11.207  173.896  105.717
     446  -11.347  174.577  105.450
     447  -11.409  176.194  106.805
     448   -9.883  175.651  105.686
     449   -9.455  175.749  104.183
